BCI-AV#|English|Derivation - explanation|POS
8483|exclamation_mark|(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to indicate that the symbol statement that follows it is in the imperative form) - Character|WHITE
8484|percent,percentage,%|(international mathematical symbol) - Character|YELLOW
8485|question_mark|(punctuation mark - used as punctuation in symbol sentences) - Character|YELLOW
8486|period,point,full_stop,decimal_point|(punctuation mark - 1. used as punctuation in symbol sentences; 2. international mathematical symbol) - Character|WHITE
8487|comma|(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to divide component parts of compound and combined symbols, in order to clarify meaning) - Character|WHITE
8488|colon|(punctuation mark) - Character|WHITE
8489|apostrophe|(punctuation mark) - Character|WHITE
8490|degree|(punctuation mark) - Character|WHITE
8496|zero_(digit),0|(Arabic numeral 0) - Character|WHITE
8497|one_(digit),1,modifier_(first_person)|(Arabic numeral 1) - Character|WHITE
8498|two_(digit),2,modifier_(second_person)|(Arabic numeral 2) - Character|WHITE
8499|three_(digit),3,modifier_(third_person)|(Arabic numeral 3) - Character|WHITE
8500|four_(digit),4|(Arabic numeral 4) - Character|WHITE
8501|five_(digit),5|(Arabic numeral 5) - Character|WHITE
8502|six_(digit),6|(Arabic numeral 6) - Character|WHITE
8503|seven_(digit),7|(Arabic numeral 7) - Character|WHITE
8504|eight_(digit),8|(Arabic numeral 8) - Character|WHITE
8505|nine_(digit),9|(Arabic numeral 9) - Character|WHITE
8510|zero_(index_number)|(Arabic numeral 0 - small) - Character|WHITE
8511|one_(index_number)|(Arabic numeral 1 - small) - Character|WHITE
8512|two_(index_number)|(Arabic numeral 2 - small) - Character|WHITE
8513|three_(index_number)|(Arabic numeral 3 - small) - Character|WHITE
8514|four_(index_number)|(Arabic numeral 4 - small) - Character|WHITE
8515|five_(index_number)|(Arabic numeral 5 - small) - Character|WHITE
8516|six_(index_number)|(Arabic numeral 6 - small) - Character|WHITE
8517|seven_(index_number)|(Arabic numeral 7 - small) - Character|WHITE
8518|eight_(index_number)|(Arabic numeral 8 - small) - Character|WHITE
8519|nine_(index_number)|(Arabic numeral 9 - small) - Character|WHITE
8521|a_(lowercase)|(Latin English lowercase letter a) - Character|WHITE
8522|b_(lowercase)|(Latin English lowercase letter b) - Character|WHITE
8523|c_(lowercase)|(Latin English lowercase letter c) - Character|WHITE
8524|d_(lowercase)|(Latin English lowercase letter d) - Character|WHITE
8525|e_(lowercase)|(Latin English lowercase letter e) - Character|WHITE
